Generation,Best Fitness
1,-6663.557007472673
2,-6663.557007472673
3,-6182.864929289573
4,-6179.5199398896275
5,-4321.807709389749
6,-4321.807709389749
7,-3235.1316932485583
8,-3235.1316932485583
9,-3235.1316932485583
10,-2698.1902928979584
11,-2698.1902928979584
12,-2698.1902928979584
13,-2698.1902928979584
14,-2698.1902928979584
15,-2698.1902928979584
16,-2698.1902928979584
17,-2698.1902928979584
18,-2698.1902928979584
19,-2698.1902928979584
20,-2698.1902928979584
21,-2698.1902928979584
22,-2698.1902928979584
23,-2698.1902928979584
24,-2698.1902928979584
25,-2698.1902928979584
26,-2698.1902928979584
27,-2698.1902928979584
28,-2698.1902928979584
29,-2698.1902928979584
30,-2698.1902928979584
31,-2698.1902928979584
32,-2698.1902928979584
33,-2698.1902928979584
34,-2698.1902928979584
35,-2698.1902928979584
36,-2698.1902928979584
37,-2698.1902928979584
38,-2698.1902928979584
39,-2698.1902928979584
40,-2698.1902928979584
41,-2698.1902928979584
42,-2698.1902928979584
43,-2698.1902928979584
44,-2698.1902928979584
45,-2698.1902928979584
46,-2698.1902928979584
47,-2698.1902928979584
48,-316.4955451316044
49,-316.4955451316044
50,-316.4955451316044
51,-287.95521764987063
52,-287.95521764987063
53,-287.95521764987063
54,-287.95521764987063
55,-287.95521764987063
56,-287.95521764987063
57,-287.95521764987063
58,-287.95521764987063
59,-287.95521764987063
60,-287.95521764987063
61,-287.95521764987063
62,-287.95521764987063
63,-110.1562655859724
64,-110.1562655859724
65,-110.1562655859724
66,-110.1562655859724
67,-110.1562655859724
68,-110.1562655859724
69,-110.1562655859724
70,-110.1562655859724
71,-110.1562655859724
72,-110.1562655859724
73,-110.1562655859724
74,-110.1562655859724
75,-110.1562655859724
76,-110.1562655859724
77,-110.1562655859724
78,-110.1562655859724
79,-110.1562655859724
80,-110.1562655859724
81,-110.1562655859724
82,-110.1562655859724
83,-110.1562655859724
84,-110.1562655859724
85,-110.1562655859724
86,-110.1562655859724
87,-110.1562655859724
88,-110.1562655859724
89,-110.1562655859724
90,-110.1562655859724
91,-110.1562655859724
92,-110.1562655859724
93,-110.1562655859724
94,-110.1562655859724
95,-110.1562655859724
96,-110.1562655859724
97,-110.1562655859724
98,-110.1562655859724
99,-110.1562655859724
100,-110.1562655859724
