Generation,Best Fitness
1,-7361.934440732282
2,-6962.342026066677
3,-6626.888694474132
4,-6389.184481977275
5,-6316.784702240455
6,-6125.792305295009
7,-6090.835135032231
8,-5744.077426841233
9,-5608.373585488494
10,-5481.41915186131
11,-5481.41915186131
12,-5296.324012475714
13,-5236.909640034778
14,-5223.041588544574
15,-4801.066054673666
16,-4801.066054673666
17,-4801.066054673666
18,-3974.1457740353153
19,-3974.1457740353153
20,-3974.1457740353153
21,-2482.659699828283
22,-2482.659699828283
23,-2482.659699828283
24,-2482.659699828283
25,-1270.6952665640524
26,-1270.6952665640524
27,-1270.6952665640524
28,-1270.6952665640524
29,-1270.6952665640524
30,-1165.1661889504
31,-1165.1661889504
32,-109.2569168521623
33,-109.2569168521623
34,-104.6758863290471
35,-104.6758863290471
36,-48.89112469469716
37,-48.89112469469716
38,-48.89112469469716
39,-48.89112469469716
40,-48.89112469469716
41,-48.89112469469716
42,-48.89112469469716
43,-48.89112469469716
44,-48.89112469469716
45,-48.89112469469716
46,-23.224923069325417
47,-23.224923069325417
48,-23.224923069325417
49,-23.224923069325417
50,-23.224923069325417
