Generation,Best Fitness
1,-6995.162838863916
2,-5886.34490208826
3,-4782.554203740683
4,-3941.2985574872
5,-3941.2985574872
6,-3941.2985574872
7,-3941.2985574872
8,-3941.2985574872
9,-3941.2985574872
10,-3941.2985574872
11,-3941.2985574872
12,-3941.2985574872
13,-3941.2985574872
14,-3941.2985574872
15,-3941.2985574872
16,-3941.2985574872
17,-2875.244086382278
18,-2875.244086382278
19,-2875.244086382278
20,-2875.244086382278
