Generation,Best Fitness
1,-7361.899996899154
2,-7361.894154178392
3,-7361.86160816381
4,-7139.324609912289
5,-7088.7212633602985
6,-6784.55833492389
7,-6657.675731407874
8,-6657.675731407874
9,-6421.944328763721
10,-6050.499196626854
11,-6050.499196626854
12,-5955.576520915783
13,-5442.378446328755
14,-4418.66585634678
15,-3975.847884082156
16,-3407.6932724469084
17,-3263.779753805618
18,-2863.7050093555126
19,-2687.14518822577
20,-2391.9894869715877
21,-2222.2284236218693
22,-2222.2284236218693
23,-2222.2284236218693
24,-2153.2488288158133
25,-2153.2488288158133
26,-2153.2488288158133
27,-2053.457819445324
28,-2053.457819445324
29,-2053.457819445324
30,-2053.457819445324
31,-1877.7793698948421
32,-462.7047730524826
33,-216.91684514889866
34,-216.91684514889866
35,-125.22661390138705
36,-125.22661390138705
37,-125.22661390138705
38,-125.22661390138705
39,-125.22661390138705
40,-116.48617822477352
41,-116.48617822477352
42,-116.48617822477352
43,-116.48617822477352
44,-116.48617822477352
45,-116.48617822477352
46,-73.20128878046309
47,-73.20128878046309
48,-73.20128878046309
49,-73.20128878046309
50,-73.20128878046309
