Generation,Best Fitness
1,-7099.225073302582
2,-6752.984064970265
3,-6752.984064970265
4,-6752.984064970265
5,-6752.984064970265
6,-6752.984064970265
7,-6752.984064970265
8,-6752.984064970265
9,-6752.984064970265
10,-6752.984064970265
11,-6752.984064970265
12,-6752.984064970265
13,-6752.984064970265
14,-6752.984064970265
15,-6752.984064970265
16,-6752.984064970265
17,-6752.984064970265
18,-6019.431752763979
19,-3135.5068802880887
20,-3112.800634976485
21,-3112.800634976485
22,-3112.800634976485
23,-3112.800634976485
24,-2916.6076004199667
25,-2916.6076004199667
26,-2916.6076004199667
27,-2916.6076004199667
28,-2916.6076004199667
29,-2916.6076004199667
30,-2916.6076004199667
31,-2916.6076004199667
32,-2916.6076004199667
33,-2916.6076004199667
34,-2916.6076004199667
35,-2916.6076004199667
36,-2916.6076004199667
37,-2916.6076004199667
38,-2916.6076004199667
39,-2916.6076004199667
40,-2916.6076004199667
41,-2916.6076004199667
42,-2916.6076004199667
43,-2916.6076004199667
44,-2916.6076004199667
45,-2916.6076004199667
46,-2916.6076004199667
47,-2916.6076004199667
48,-2916.6076004199667
49,-2916.6076004199667
50,-2916.6076004199667
